session_id,ip_address,browser,operating_system,timestamp,query,doc_id,title,description
57388,127.0.0.1,Firefox,Windows,2024-11-29T12:55:07.787409,,,,
57388,,,,2024-11-29T12:55:07.787409,farmers,,,
57388,,,,2024-11-29T12:55:07.787409,,1363765733944143875,"#ModiIgnoringFarmersDeaths 
#FarmersProtest https://t.co/Easuz7Rokf","#ModiIgnoringFarmersDeaths 
#FarmersProtest https://t.co/Easuz7Rokf"
57388,,,,2024-11-29T12:55:07.787409,,1363765733944143875,"#ModiIgnoringFarmersDeaths 
#FarmersProtest https://t.co/Easuz7Rokf","#ModiIgnoringFarmersDeaths 
#FarmersProtest https://t.co/Easuz7Rokf"
57388,,,,2024-11-29T12:55:07.787409,,1360069962375647233,"“मंज़िल से ज़रा कह दो अभी पहुँचा नहीं हूँ मैं,
मुश्किलें ज़रूर हैं मगर ठहरा नहीं हूँ मैं""
#FarmersPr","“मंज़िल से ज़रा कह दो अभी पहुँचा नहीं हूँ मैं,
मुश्किलें ज़रूर हैं मगर ठहरा नहीं हूँ मैं""
#FarmersProtest 
#आज_किसान_टोल_फ्री_करायेगे"
39956,127.0.0.1,Firefox,Windows,2024-11-29T12:55:42.613595,,,,
38690,127.0.0.1,Firefox,Windows,2024-11-29T17:50:33.502447,,,,
38690,,,,2024-11-29T17:52:15.906482,farmers,,,
38690,,,,2024-11-29T17:53:21.288145,,1364086144304963587,"ਬਹੁਤ ਹੀ ਬੁਰੇ ਹਾਲ ਨੇ ਭਾਜਪਾ ਵਾਲਿਆਂ ਦੇ। ਕੋਈ ਇਮਾਨ ਧਰਮ ਨਹੀ। ਮੂੰਹ ਤੇ ਹੀ ਝੂਠ ਬੋਲੀ ਜਾਂਦੇ

#FarmersProtest ht","ਬਹੁਤ ਹੀ ਬੁਰੇ ਹਾਲ ਨੇ ਭਾਜਪਾ ਵਾਲਿਆਂ ਦੇ। ਕੋਈ ਇਮਾਨ ਧਰਮ ਨਹੀ। ਮੂੰਹ ਤੇ ਹੀ ਝੂਠ ਬੋਲੀ ਜਾਂਦੇ

#FarmersProtest https://t.co/2A9ZN6B8d3"
38690,,,,2024-11-29T17:54:39.460442,kevin,,,
38690,,,,2024-11-29T17:54:41.163947,,1364247468922265603,"🤔
@KesriLeharScot #FarmersProtest 
https://t.co/8jKR2jFpHq","🤔
@KesriLeharScot #FarmersProtest 
https://t.co/8jKR2jFpHq"
38690,,,,2024-11-29T17:56:03.751999,,1364247468922265603,"🤔
@KesriLeharScot #FarmersProtest 
https://t.co/8jKR2jFpHq","🤔
@KesriLeharScot #FarmersProtest 
https://t.co/8jKR2jFpHq"
61710,127.0.0.1,Chrome,Windows,2024-11-29T21:08:25.650719,,,,
61710,,,,2024-11-29T21:11:48.227664,india,,,
61710,,,,2024-11-29T21:11:50.327372,,doc_45142,Bollywood has betrayed Panjab &amp; the farmers of India ! Heroes to Zeroes !!,Bollywood has betrayed Panjab &amp; the farmers of India ! Heroes to Zeroes !!
61710,,,,2024-11-29T21:12:02.162897,,doc_27071,india is targeting young women to silence dissent &amp; muzzle free speech. 21yo climate activist wa,"india is targeting young women to silence dissent &amp; muzzle free speech. 21yo climate activist was arrested for tweeting a benign google doc about the . bjp ministers have called for her “eradication” &amp; their online army ""jokes"" about her custodial rape"
61710,,,,2024-11-29T21:12:04.638679,,doc_28056,"Today, 75 organizations--led by --ran an open letter in the supporting the and calling on India to ""","Today, 75 organizations--led by --ran an open letter in the supporting the and calling on India to ""support the core principles of democracy."" Thank you for raising your voices in solidarity in this critical moment!"
61710,,,,2024-11-29T21:12:07.022579,,doc_37099,"Disha Ravi is 21 yrs A climate activist from India she campaigns for clean air, clean water and a li","Disha Ravi is 21 yrs A climate activist from India she campaigns for clean air, clean water and a liveable planet She is now facing state sanctioned violence for peacefully supporting farmers Silence is not an option we must all condemn this act of suppression"
38561,127.0.0.1,Chrome,Windows,2024-11-29T23:18:15.314299,,,,
38561,,,,2024-11-29T23:18:17.934526,india,,,
38561,,,,2024-11-29T23:18:37.850778,india,,,
38561,,,,2024-11-29T23:18:40.184608,,doc_45142,Bollywood has betrayed Panjab &amp; the farmers of India ! Heroes to Zeroes !!,Bollywood has betrayed Panjab &amp; the farmers of India ! Heroes to Zeroes !!
38561,,,,2024-11-29T23:21:56.594435,farmer protest,,,
79351,127.0.0.1,Chrome,Windows,2024-11-30T18:27:56.517666,,,,
79351,,,,2024-11-30T18:28:05.101424,in dia,,,
79351,,,,2024-11-30T18:28:11.656836,india,,,
79351,,,,2024-11-30T18:31:00.744787,,doc_2333,  from India,  from India
79351,,,,2024-11-30T18:31:33.024479,farmer,,,
79351,,,,2024-11-30T18:55:12.910540,india,,,
79351,,,,2024-11-30T18:58:13.936788,farm,,,
79351,,,,2024-11-30T19:03:26.204248,india,,,
79351,,,,2024-11-30T19:06:59.126618,hello,,,
79351,,,,2024-11-30T19:09:55.018470,holle,,,
79351,,,,2024-11-30T19:10:20.510552,india,,,
44253,127.0.0.1,Chrome,Windows,2024-11-30T19:36:27.580968,,,,
44253,,,,2024-11-30T19:45:18.419753,india,,,
44253,,,,2024-11-30T19:45:25.992446,,doc_2333,  from India,  from India
44253,,,,2024-11-30T19:45:43.366088,,doc_2333,  from India,  from India
44253,,,,2024-11-30T19:55:56.339103,india,,,
44253,,,,2024-11-30T19:55:59.357985,,doc_33243,Why India?,Why India?
44253,,,,2024-11-30T19:57:48.446096,farm,,,
44253,,,,2024-11-30T19:57:51.032992,,doc_277,72 Farm,72 Farm
44253,,,,2024-11-30T20:06:38.150839,in,,,
44253,,,,2024-11-30T20:06:43.035605,india,,,
44253,,,,2024-11-30T20:06:44.707360,,doc_2333,  from India,  from India
44253,,,,2024-11-30T20:09:06.252188,india,,,
44253,,,,2024-11-30T20:09:07.898063,,doc_2333,  from India,  from India
44253,,,,2024-11-30T20:09:10.660717,,doc_2333,  from India,  from India
44253,,,,2024-11-30T20:13:28.298514,farm,,,
44253,,,,2024-11-30T20:13:30.230334,,doc_277,72 Farm,72 Farm
44253,,,,2024-11-30T20:15:56.050168,india,,,
44253,,,,2024-11-30T20:19:27.206590,india,,,
44253,,,,2024-11-30T20:21:05.779217,farm,,,
44253,,,,2024-11-30T20:24:15.944654,india,,,
79351,,,,2024-11-30T21:02:52.877097,india,,,
79351,,,,2024-11-30T21:02:59.362983,india,,,
79351,,,,2024-11-30T21:07:24.842962,india,,,
79351,,,,2024-11-30T21:07:30.032955,india,,,
79351,,,,2024-11-30T21:07:34.215852,india,,,
79351,,,,2024-11-30T21:07:39.143748,india,,,
79351,,,,2024-11-30T21:07:45.310999,india,,,
79351,,,,2024-11-30T21:09:59.016132,farm,,,
79351,,,,2024-11-30T21:10:03.497476,farm,,,
79351,,,,2024-11-30T21:10:08.159727,farm,,,
79351,,,,2024-11-30T21:10:15.235188,farm,,,
79351,,,,2024-11-30T21:12:58.687652,farm,,,
